text,expected_count_adults,pred_count_adults,expected_count_children,pred_count_children,expected_start_date,pred_start_date,expected_nights,pred_nights,expected_price_per_day,pred_price_per_day,ok_count_adults,ok_count_children,ok_start_date,ok_nights,ok_price_per_day
Снимем жилье с 30.06-7.07 Два взрослых и 2детей(7 и 11лет). Недалеко от моря.,2.0,2.0,2.0,2.0,30.06,30.06,7.0,8.0,,,True,True,True,False,True
"Добрый день! Ищем жильё (гостевой дом) с парковкой в Лазаревском, планируем приезд 5-6 августа на 7 дней, двое взрослых и двое детей (16 и 2 г) не далеко от моря. Рассмотрим ваши предложения!",2.0,2.0,2.0,2.0,05.08,05.08,7.0,7.0,,,True,True,True,True,True
Добрый вечер! ищем жилье на отдых с 16-29 августа.на 6 человек...,,,,,16.08,16.08,13.0,14.0,,,True,True,True,False,True
"Снимем жильё с 1.09по 8.09 двухместный,су в номере ,олимпийская деревня или рядом ,предложения в лс.",,,,,01.09,01.09,7.0,7.0,,,True,True,True,True,True
"Здравствуйте, интересует жилье,с 18 августа по 24 ,два взрослых,и дети 3 года и 4 месяца?",2.0,2.0,2.0,2.0,18.08,18.08,6.0,7.0,,,True,True,True,False,True
"Ищем жилье в самом Лазаревском для двоих, 2-местный номер с удобствами, с 7-8 сентября не менее чем на неделю, 700 р. за номер",,2.0,,,07.09,07.09,7.0,7.0,700.0,700.0,False,True,True,True,True
Здравствуйте! Интересует жилье с 11 по 22 августа. Один взрослый и ребенок.,1.0,1.0,1.0,1.0,11.08,11.08,11.0,11.0,,,True,True,True,True,True
Здравствуйте. Интересует жилье 3 местный номер.с20 .06 по 28.06 не далеко от моря.,,,,,20.06,20.06,8.0,8.0,,,True,True,True,True,True
"Ищу жилье, интересует Пицунда, песчаный пляж, недалеко от моря. С 20-22 на 10 дней, 2 взрослых + 1 ребенок 2,5 года Рассмотрю все варианты.",2.0,2.0,1.0,1.0,,20.09,10.0,10.0,,,True,True,False,True,True
Добрый вечер. Ищем жилье с 17.08 на 10 дней. Желательно с бассейном. 2е взрослых и ребенок 5 лет,2.0,2.0,1.0,1.0,17.08,17.08,10.0,10.0,,,True,True,True,True,True
Ищем жильё с 18-19 августа на 7 дней.Частный сектор.Обязательно с местом для парковки легковой машины.Нас 3 взрослых.,3.0,3.0,0.0,,18.08,18.08,7.0,7.0,,,True,False,True,True,True
"Добрый день , интересует жильё , можно эконом с 19 по 29 августа , нужно два двухместных номера , или 1 на 4х человек",,4.0,,,19.08,19.08,10.0,10.0,,,False,True,True,True,True
Добрый день интересует жилье семья 5 человек двое взрослых и трое детей с 20 по 30 сентября на берегу моря цена пожайлуста в личку,2.0,2.0,3.0,3.0,20.09,20.09,10.0,10.0,,,True,True,True,True,True
"А море то далеко? Или есть какие то тайные тропы? 
Если я сниму жильё на этой улице , сколько мне пешком идти до моря ? А главное - сколько мне пешком идти обратно ? В гору. По жаре .",,,,,,,,,,,True,True,True,True,True
"Добрый день! Ищем жилье в Лазаревском с 02.07-10.07. Двухместный номер с удобствами. Вблизи моря, не окраина. До 2т.р./сут.",,,,,02.07,02.07,8.0,9.0,2000.0,2000.0,True,True,True,False,True
