amount;text
4;Снимем жилье с 30.06-7.07 Два взрослых и 2детей(7 и 11лет). Недалеко от моря.
4;Добрый день! Ищем жильё (гостевой дом) с парковкой в Лазаревском, планируем приезд 5-6 августа на 7 дней, двое взрослых и двое детей (16 и 2 г) не далеко от моря. Рассмотрим ваши предложения!
6;Добрый вечер! ищем жилье на отдых с 16-29 августа.на 6 человек...
2;Снимем жильё с 1.09по 8.09 двухместный,су в номере ,олимпийская деревня или рядом ,предложения в лс.
4;Здравствуйте, интересует жилье,с 18 августа по 24 ,два взрослых,и дети 3 года и 4 месяца?
2;Ищем жилье в самом Лазаревском для двоих, 2-местный номер с удобствами, с 7-8 сентября не менее чем на неделю, 700 р. за номер
2;Здравствуйте! Интересует жилье с 11 по 22 августа. Один взрослый и ребенок.
3;Здравствуйте. Интересует жилье 3 местный номер.с20 .06 по 28.06 не далеко от моря.
3;Ищу жилье, интересует Пицунда, песчаный пляж, недалеко от моря. С 20-22 на 10 дней, 2 взрослых + 1 ребенок 2,5 года Рассмотрю все варианты.
3;Добрый вечер. Ищем жилье с 17.08 на 10 дней. Желательно с бассейном. 2е взрослых и ребенок 5 лет
3;Ищем жильё с 18-19 августа на 7 дней.Частный сектор.Обязательно с местом для парковки легковой машины.Нас 3 взрослых.
4;Добрый день , интересует жильё , можно эконом с 19 по 29 августа , нужно два двухместных номера , или 1 на 4х человек
5;Добрый день интересует жилье семья 5 человек двое взрослых и трое детей с 20 по 30 сентября на берегу моря цена пожайлуста в личку
1;"А море то далеко? Или есть какие то тайные тропы? 
Если я сниму жильё на этой улице , сколько мне пешком идти до моря ? А главное - сколько мне пешком идти обратно ? В гору. По жаре ."
2;Добрый день! Ищем жилье в Лазаревском с 02.07-10.07. Двухместный номер с удобствами. Вблизи моря, не окраина. До 2т.р./сут.
